UAN,Age,State_Origin,State_Current,Occupation_Sector,Daily_Wage,Skill_Level,Scheme_Enrolled,Registration_Date
MOCK-UAN-7915-6633,30,Maharashtra,Maharashtra,Gig Worker,364,Unskilled,Ayushman Bharat,2025-03-27
MOCK-UAN-8657-6425,55,Odisha,Odisha,Domestic Worker,598,Skilled,None,2025-04-16
MOCK-UAN-4594-1060,58,Maharashtra,Maharashtra,Manufacturing,538,Semi-skilled,eShram,2026-01-20
MOCK-UAN-6431-7158,31,Gujarat,Andhra Pradesh,Agriculture,268,Unskilled,PM-SYM,2026-04-10
MOCK-UAN-8215-4185,58,Odisha,Odisha,Agriculture,390,Unskilled,PM-SYM,2026-04-09
MOCK-UAN-3855-6567,53,Maharashtra,Andhra Pradesh,Gig Worker,735,Skilled,PM-SYM,2024-10-06
MOCK-UAN-3248-7208,59,Bihar,Uttar Pradesh,Agriculture,871,Highly-skilled,eShram,2025-09-28
MOCK-UAN-3807-9633,57,Gujarat,Gujarat,Construction,381,Unskilled,eShram,2025-01-26
MOCK-UAN-4140-9725,42,Tamil Nadu,Karnataka,Gig Worker,448,Unskilled,PM-Kisan,2025-04-11
MOCK-UAN-5049-1872,58,Uttar Pradesh,Uttar Pradesh,Domestic Worker,931,Highly-skilled,eShram,2024-12-07
MOCK-UAN-2062-3743,50,Gujarat,Gujarat,Domestic Worker,521,Skilled,None,2026-02-28
MOCK-UAN-6272-7125,51,Karnataka,Karnataka,Manufacturing,863,Highly-skilled,Ayushman Bharat,2026-05-03
MOCK-UAN-1599-4394,32,Maharashtra,Uttar Pradesh,Manufacturing,437,Semi-skilled,Ayushman Bharat,2025-11-24
MOCK-UAN-3575-7129,-1,West Bengal,Bihar,Agriculture,896,Highly-skilled,PM-Kisan,2025-09-10
MOCK-UAN-1674-8622,50,Odisha,Karnataka,Manufacturing,931,Highly-skilled,None,2025-09-26
MOCK-UAN-6194-5473,42,Andhra Pradesh,Uttar Pradesh,Agriculture,308,Unskilled,Ayushman Bharat,2024-12-08
MOCK-UAN-9220-9401,52,Bihar,Bihar,Gig Worker,333,Unskilled,PM-SYM,2024-11-27
MOCK-UAN-9946-4281,39,Maharashtra,Maharashtra,Agriculture,619,Skilled,Ayushman Bharat,2025-03-29
MOCK-UAN-3258-9898,34,Andhra Pradesh,Andhra Pradesh,Agriculture,630,Skilled,None,2025-11-04
MOCK-UAN-1194-8733,59,West Bengal,West Bengal,Gig Worker,1027,Highly-skilled,eShram,2025-05-05
MOCK-UAN-4438-8773,32,West Bengal,Odisha,Manufacturing,954,Highly-skilled,Ayushman Bharat,2024-12-11
MOCK-UAN-4077-8025,62,Gujarat,West Bengal,Domestic Worker,341,Unskilled,Ayushman Bharat,2025-02-04
MOCK-UAN-3102-6006,65,Andhra Pradesh,Gujarat,Agriculture,472,Semi-skilled,None,2025-11-24
MOCK-UAN-7608-9808,37,Tamil Nadu,Andhra Pradesh,Gig Worker,546,Semi-skilled,Ayushman Bharat,2026-04-19
MOCK-UAN-7404-7247,31,Gujarat,Karnataka,Gig Worker,916,Highly-skilled,PM-SYM,2025-08-17
MOCK-UAN-8397-5991,23,Jharkhand,Odisha,Gig Worker,421,Unskilled,PM-Kisan,2026-04-13
MOCK-UAN-5650-4373,32,Uttar Pradesh,Uttar Pradesh,Construction,960,Highly-skilled,PM-SYM,2025-09-27
MOCK-UAN-3815-6353,44,Gujarat,Bihar,Gig Worker,1013,Highly-skilled,None,2024-11-24
MOCK-UAN-4382-3128,31,Uttar Pradesh,West Bengal,Gig Worker,636,Skilled,PM-Kisan,2025-04-10
MOCK-UAN-8519-5512,30,Andhra Pradesh,Andhra Pradesh,Manufacturing,17498,Unskilled,None,2026-05-27
MOCK-UAN-9615-6388,54,Karnataka,Andhra Pradesh,Construction,702,Skilled,None,2025-09-05
MOCK-UAN-5873-7407,-1,Jharkhand,Maharashtra,Domestic Worker,898,Highly-skilled,None,2025-10-13
MOCK-UAN-4005-2565,43,Andhra Pradesh,Maharashtra,Agriculture,634,Skilled,PM-SYM,2026-08-30
MOCK-UAN-4559-9085,44,West Bengal,Tamil Nadu,Construction,351,Unskilled,PM-Kisan,2025-08-14
MOCK-UAN-3700-5141,31,West Bengal,Andhra Pradesh,Construction,951,Highly-skilled,None,2025-09-01
MOCK-UAN-4185-7499,20,Andhra Pradesh,Maharashtra,Agriculture,946,Highly-skilled,None,2026-06-15
MOCK-UAN-3297-8713,35,Jharkhand,Andhra Pradesh,Domestic Worker,274,Unskilled,eShram,2025-04-03
MOCK-UAN-1183-5476,27,Karnataka,Maharashtra,Construction,504,Semi-skilled,None,2026-05-23
MOCK-UAN-6051-8274,21,Odisha,Gujarat,Gig Worker,526,Semi-skilled,Ayushman Bharat,2026-05-01
MOCK-UAN-1238-6523,30,Bihar,Jharkhand,Gig Worker,528,Semi-skilled,PM-SYM,2025-11-14
MOCK-UAN-6359-6286,53,Maharashtra,Maharashtra,Domestic Worker,884,Highly-skilled,None,2025-01-16
MOCK-UAN-2734-6842,38,Jharkhand,Gujarat,Construction,961,Highly-skilled,eShram,2025-12-28
MOCK-UAN-5562-7045,20,Bihar,Bihar,Manufacturing,576,Skilled,PM-Kisan,2026-02-08
MOCK-UAN-2668-9784,54,Jharkhand,Bihar,Domestic Worker,662,Skilled,None,2026-08-10
MOCK-UAN-3177-6440,29,Tamil Nadu,Tamil Nadu,Manufacturing,255,Unskilled,Ayushman Bharat,2024-10-03
MOCK-UAN-8354-7264,50,Maharashtra,Andhra Pradesh,Gig Worker,390,Unskilled,PM-Kisan,2025-01-20
MOCK-UAN-8020-4990,57,Bihar,Gujarat,Manufacturing,578,Skilled,eShram,2025-02-17
MOCK-UAN-1621-4900,64,Odisha,Odisha,Manufacturing,672,Skilled,eShram,2025-06-26
MOCK-UAN-1648-9533,44,Uttar Pradesh,Uttar Pradesh,Gig Worker,709,Skilled,Ayushman Bharat,2025-05-21
MOCK-UAN-1885-5068,61,Maharashtra,Maharashtra,Manufacturing,651,Skilled,eShram,2025-12-11
MOCK-UAN-2058-9055,22,Maharashtra,Jharkhand,Gig Worker,475,Semi-skilled,PM-SYM,2025-03-11
MOCK-UAN-4348-4871,50,Bihar,West Bengal,Agriculture,463,Semi-skilled,eShram,2025-05-23
MOCK-UAN-5079-5966,36,Odisha,Maharashtra,Agriculture,944,Highly-skilled,PM-SYM,2025-09-18
MOCK-UAN-3748-8712,46,Gujarat,Karnataka,Gig Worker,1004,Highly-skilled,PM-SYM,2025-10-10
MOCK-UAN-2363-5918,56,West Bengal,Jharkhand,Agriculture,953,Highly-skilled,None,2025-07-25
MOCK-UAN-7146-8878,22,Tamil Nadu,West Bengal,Gig Worker,524,Semi-skilled,eShram,2025-05-13
MOCK-UAN-7812-7465,65,Tamil Nadu,Uttar Pradesh,Domestic Worker,370,Unskilled,None,2024-10-24
MOCK-UAN-3039-7304,54,Jharkhand,Karnataka,Agriculture,714,Skilled,PM-Kisan,2026-09-11
MOCK-UAN-7032-1945,59,Gujarat,Gujarat,Gig Worker,531,Semi-skilled,None,2024-10-20
MOCK-UAN-6921-1462,62,Jharkhand,West Bengal,Gig Worker,677,Skilled,eShram,2026-05-24
MOCK-UAN-3644-1202,25,Bihar,Bihar,Manufacturing,972,Highly-skilled,PM-Kisan,2024-12-06
MOCK-UAN-4093-7929,28,Gujarat,Uttar Pradesh,Domestic Worker,978,Highly-skilled,PM-Kisan,2025-07-27
MOCK-UAN-2456-2790,58,Odisha,Odisha,Agriculture,423,Semi-skilled,Ayushman Bharat,2025-04-17
MOCK-UAN-7520-6047,-5,Jharkhand,Jharkhand,Construction,328,Unskilled,PM-SYM,2026-08-29
MOCK-UAN-7829-5724,64,Gujarat,Tamil Nadu,Gig Worker,535,Semi-skilled,eShram,2026-05-19
MOCK-UAN-4482-4041,30,Andhra Pradesh,Andhra Pradesh,Gig Worker,632,Skilled,None,2025-12-10
MOCK-UAN-2789-3721,23,Uttar Pradesh,Bihar,Agriculture,254,Unskilled,Ayushman Bharat,2024-10-15
MOCK-UAN-8829-8949,61,Bihar,Tamil Nadu,Construction,299,Unskilled,PM-SYM,2025-04-19
MOCK-UAN-1118-7154,56,West Bengal,West Bengal,Agriculture,861,Highly-skilled,None,2025-08-26
MOCK-UAN-6514-7074,61,Tamil Nadu,Tamil Nadu,Gig Worker,698,Skilled,None,2025-10-07
MOCK-UAN-6833-6410,24,Andhra Pradesh,Karnataka,Gig Worker,411,Unskilled,PM-Kisan,2025-01-18
MOCK-UAN-5578-5072,41,Karnataka,Karnataka,Manufacturing,977,Highly-skilled,eShram,2024-09-18
MOCK-UAN-6278-1272,58,Tamil Nadu,Tamil Nadu,Agriculture,850,Highly-skilled,eShram,2026-05-29
MOCK-UAN-2333-6707,45,Karnataka,Karnataka,Construction,999,Highly-skilled,Ayushman Bharat,2026-06-19
MOCK-UAN-9267-1520,26,Karnataka,Karnataka,Agriculture,889,Highly-skilled,eShram,2025-12-15
MOCK-UAN-8899-9858,33,Maharashtra,Bihar,Construction,947,Highly-skilled,PM-SYM,2025-02-26
MOCK-UAN-6349-7283,35,Maharashtra,Maharashtra,Manufacturing,333,Unskilled,eShram,2026-03-16
MOCK-UAN-9060-2481,62,Tamil Nadu,Tamil Nadu,Domestic Worker,243,Unskilled,Ayushman Bharat,2025-10-06
MOCK-UAN-7252-8159,32,Maharashtra,Tamil Nadu,Construction,369,Unskilled,PM-SYM,2025-08-29
MOCK-UAN-4082-2902,54,Tamil Nadu,Gujarat,Manufacturing,308,Unskilled,Ayushman Bharat,2024-11-17
MOCK-UAN-4110-7359,45,Tamil Nadu,Tamil Nadu,Gig Worker,574,Semi-skilled,PM-SYM,2025-05-05
MOCK-UAN-5863-4586,49,Karnataka,Uttar Pradesh,Gig Worker,414,Unskilled,PM-Kisan,2025-08-08
MOCK-UAN-3022-5480,63,Odisha,Maharashtra,Manufacturing,722,Skilled,None,2024-11-14
MOCK-UAN-6458-3501,63,Maharashtra,Maharashtra,Gig Worker,368,Unskilled,eShram,2026-01-27
MOCK-UAN-5900-3608,19,West Bengal,Gujarat,Manufacturing,573,Skilled,None,2025-05-23
MOCK-UAN-4196-9978,43,Bihar,Andhra Pradesh,Agriculture,868,Highly-skilled,eShram,2025-05-05
MOCK-UAN-4436-4573,65,Maharashtra,Maharashtra,Construction,622,Skilled,PM-Kisan,2024-12-28
MOCK-UAN-3418-7169,45,Jharkhand,Jharkhand,Construction,618,Skilled,None,2025-03-17
MOCK-UAN-2922-9444,59,Tamil Nadu,Jharkhand,Manufacturing,509,Semi-skilled,PM-SYM,2025-01-14
MOCK-UAN-9005-5959,62,Odisha,Odisha,Manufacturing,371,Unskilled,None,2026-07-12
MOCK-UAN-8292-7018,18,Bihar,Jharkhand,Manufacturing,421,Semi-skilled,PM-SYM,2026-05-08
MOCK-UAN-8856-5484,62,Bihar,Bihar,Gig Worker,958,Highly-skilled,None,2026-07-07
MOCK-UAN-5888-3051,24,Tamil Nadu,Odisha,Gig Worker,1023,Highly-skilled,PM-SYM,2025-10-23
MOCK-UAN-9788-9684,49,Bihar,Odisha,Construction,472,Semi-skilled,PM-SYM,2025-03-19
MOCK-UAN-3948-1087,53,Karnataka,Karnataka,Construction,381,Unskilled,eShram,2026-04-26
MOCK-UAN-3641-2438,53,Uttar Pradesh,Uttar Pradesh,Construction,360,Unskilled,PM-SYM,2026-02-15
MOCK-UAN-9919-3811,45,Andhra Pradesh,Bihar,Domestic Worker,524,Skilled,PM-Kisan,2025-06-11
MOCK-UAN-9563-6769,56,West Bengal,Bihar,Construction,577,Semi-skilled,PM-SYM,2026-04-20
MOCK-UAN-4539-6882,35,Jharkhand,Jharkhand,Manufacturing,389,Unskilled,PM-Kisan,2025-06-03
MOCK-UAN-3675-7554,47,Bihar,Bihar,Manufacturing,419,Semi-skilled,PM-Kisan,2025-06-23
MOCK-UAN-4156-7097,54,West Bengal,West Bengal,Manufacturing,430,Semi-skilled,Ayushman Bharat,2025-12-03
MOCK-UAN-5055-2270,35,Bihar,Odisha,Manufacturing,314,Unskilled,Ayushman Bharat,2025-05-05
MOCK-UAN-4698-5483,18,Bihar,Uttar Pradesh,Manufacturing,316,Unskilled,PM-SYM,2025-03-13
MOCK-UAN-6022-9021,24,West Bengal,Uttar Pradesh,Domestic Worker,632,Skilled,PM-Kisan,2024-12-25
MOCK-UAN-3797-6210,42,Jharkhand,Odisha,Domestic Worker,1000,Highly-skilled,None,2026-06-17
MOCK-UAN-3547-3070,27,Gujarat,Uttar Pradesh,Construction,641,Skilled,eShram,2026-08-10
MOCK-UAN-8500-3999,46,Tamil Nadu,Tamil Nadu,Domestic Worker,560,Skilled,Ayushman Bharat,2025-11-27
MOCK-UAN-4748-6000,-3,Bihar,Bihar,Manufacturing,531,Skilled,PM-SYM,2026-04-06
MOCK-UAN-1940-2385,65,Uttar Pradesh,West Bengal,Construction,913,Highly-skilled,PM-Kisan,2025-02-01
MOCK-UAN-9437-9722,62,Bihar,Uttar Pradesh,Construction,948,Highly-skilled,PM-Kisan,2025-09-03
MOCK-UAN-9652-1693,56,Karnataka,Karnataka,Domestic Worker,539,Semi-skilled,eShram,2024-11-30
MOCK-UAN-3184-9416,40,Andhra Pradesh,Karnataka,Gig Worker,674,Skilled,PM-SYM,2025-08-27
MOCK-UAN-5092-9832,25,Uttar Pradesh,Tamil Nadu,Agriculture,461,Semi-skilled,PM-SYM,2026-06-23
MOCK-UAN-4562-5994,59,West Bengal,West Bengal,Construction,949,Highly-skilled,PM-Kisan,2026-06-15
MOCK-UAN-6382-5888,40,Bihar,Maharashtra,Manufacturing,659,Skilled,PM-SYM,2024-12-27
MOCK-UAN-4236-2388,51,West Bengal,West Bengal,Manufacturing,426,Unskilled,None,2025-04-16
MOCK-UAN-7477-7132,37,Tamil Nadu,Jharkhand,Domestic Worker,573,Skilled,PM-SYM,2025-12-08
MOCK-UAN-8198-3651,26,Tamil Nadu,Tamil Nadu,Construction,625,Skilled,eShram,2026-04-13
MOCK-UAN-7898-6426,20,Jharkhand,Jharkhand,Manufacturing,652,Skilled,PM-SYM,2025-11-20
MOCK-UAN-9119-3087,38,Gujarat,Karnataka,Gig Worker,434,Unskilled,PM-SYM,2025-06-01
MOCK-UAN-4874-1852,61,Tamil Nadu,Andhra Pradesh,Manufacturing,992,Highly-skilled,Ayushman Bharat,2025-06-30
MOCK-UAN-8027-5059,57,Jharkhand,Jharkhand,Gig Worker,579,Semi-skilled,Ayushman Bharat,2025-01-10
MOCK-UAN-5052-8031,30,Karnataka,Karnataka,Construction,482,Semi-skilled,eShram,2026-05-13
MOCK-UAN-3436-4758,25,Jharkhand,Tamil Nadu,Gig Worker,579,Semi-skilled,None,2024-10-03
MOCK-UAN-2489-1834,42,Gujarat,Maharashtra,Gig Worker,755,Skilled,None,2025-06-02
MOCK-UAN-5985-2803,35,Tamil Nadu,Gujarat,Manufacturing,491,Semi-skilled,Ayushman Bharat,2026-04-22
MOCK-UAN-6269-4473,36,Karnataka,Bihar,Manufacturing,475,Semi-skilled,Ayushman Bharat,2026-01-31
MOCK-UAN-5986-2827,24,Andhra Pradesh,Andhra Pradesh,Gig Worker,753,Skilled,Ayushman Bharat,2025-09-20
MOCK-UAN-9664-7088,33,Uttar Pradesh,Karnataka,Construction,408,Unskilled,eShram,2026-06-21
MOCK-UAN-2971-1672,-3,Maharashtra,West Bengal,Construction,419,Unskilled,PM-Kisan,2026-06-10
MOCK-UAN-8769-4309,52,Jharkhand,Uttar Pradesh,Manufacturing,632,Skilled,PM-Kisan,2025-09-05
MOCK-UAN-8347-2923,45,Bihar,Odisha,Domestic Worker,291,Unskilled,eShram,2026-05-21
MOCK-UAN-3112-5745,20,Odisha,Maharashtra,Manufacturing,907,Highly-skilled,PM-Kisan,2026-02-22
MOCK-UAN-3711-8172,50,Gujarat,Karnataka,Manufacturing,660,Skilled,eShram,2026-06-23
MOCK-UAN-1145-9401,47,West Bengal,West Bengal,Domestic Worker,559,Skilled,Ayushman Bharat,2025-04-28
MOCK-UAN-5399-2951,28,Maharashtra,Uttar Pradesh,Agriculture,318,Unskilled,eShram,2025-06-26
MOCK-UAN-5430-1844,59,Maharashtra,Maharashtra,Gig Worker,380,Unskilled,PM-SYM,2026-07-11
MOCK-UAN-7047-6317,23,West Bengal,Jharkhand,Manufacturing,601,Skilled,Ayushman Bharat,2024-11-12
MOCK-UAN-1170-6824,32,Uttar Pradesh,Andhra Pradesh,Domestic Worker,363,Unskilled,None,2026-07-16
MOCK-UAN-4377-8244,32,Tamil Nadu,Karnataka,Gig Worker,1009,Highly-skilled,eShram,2025-12-03
MOCK-UAN-8848-2535,49,Jharkhand,Maharashtra,Gig Worker,1002,Highly-skilled,eShram,2026-07-10
MOCK-UAN-6081-3669,29,Gujarat,Gujarat,Gig Worker,332,Unskilled,eShram,2024-11-27
MOCK-UAN-8455-7594,-2,West Bengal,Andhra Pradesh,Domestic Worker,337,Unskilled,None,2026-06-02
MOCK-UAN-3165-5068,23,Uttar Pradesh,Andhra Pradesh,Construction,382,Unskilled,PM-Kisan,2025-08-27
MOCK-UAN-2392-4314,26,Karnataka,Karnataka,Manufacturing,558,Semi-skilled,Ayushman Bharat,2025-08-20
MOCK-UAN-4994-1915,52,Uttar Pradesh,Uttar Pradesh,Construction,334,Unskilled,PM-SYM,2024-12-29
MOCK-UAN-2680-9381,44,Jharkhand,Uttar Pradesh,Construction,4,Semi-skilled,None,2025-04-22
MOCK-UAN-7303-2841,49,Jharkhand,Jharkhand,Gig Worker,412,Unskilled,Ayushman Bharat,2025-04-12
MOCK-UAN-2389-1710,56,Jharkhand,Odisha,Agriculture,528,Semi-skilled,None,2025-02-15
MOCK-UAN-5940-5702,15,Bihar,West Bengal,Agriculture,2500,Highly-skilled,PM-SYM,2024-09-17
MOCK-UAN-3435-3401,38,Jharkhand,West Bengal,Construction,363,Unskilled,PM-Kisan,2025-11-26
MOCK-UAN-5562-3370,23,Tamil Nadu,Tamil Nadu,Gig Worker,1030,Highly-skilled,Ayushman Bharat,2025-08-07
MOCK-UAN-8885-7782,56,Tamil Nadu,Maharashtra,Manufacturing,909,Highly-skilled,PM-Kisan,2026-02-06
MOCK-UAN-9070-9724,52,Maharashtra,Karnataka,Domestic Worker,427,Semi-skilled,PM-SYM,2025-05-13
MOCK-UAN-4330-1281,41,West Bengal,Jharkhand,Construction,359,Unskilled,Ayushman Bharat,2025-09-19
MOCK-UAN-3283-5828,47,Jharkhand,Jharkhand,Domestic Worker,953,Highly-skilled,eShram,2025-04-18
MOCK-UAN-1915-3257,25,Jharkhand,Andhra Pradesh,Manufacturing,548,Skilled,PM-SYM,2026-05-27
MOCK-UAN-3591-1494,27,Tamil Nadu,Maharashtra,Construction,356,Unskilled,PM-Kisan,2026-05-24
MOCK-UAN-3295-9641,62,Uttar Pradesh,Gujarat,Manufacturing,264,Unskilled,Ayushman Bharat,2026-06-25
MOCK-UAN-3843-9245,28,Andhra Pradesh,Karnataka,Manufacturing,659,Skilled,PM-Kisan,2026-02-10
MOCK-UAN-4724-7941,28,Uttar Pradesh,Uttar Pradesh,Domestic Worker,823,Highly-skilled,eShram,2025-04-19
MOCK-UAN-1917-4586,43,Jharkhand,Jharkhand,Domestic Worker,272,Unskilled,None,2026-01-16
MOCK-UAN-7637-7233,28,Andhra Pradesh,Andhra Pradesh,Manufacturing,468,Semi-skilled,Ayushman Bharat,2025-06-25
MOCK-UAN-6496-1459,33,Uttar Pradesh,Bihar,Construction,578,Semi-skilled,PM-Kisan,2024-09-26
MOCK-UAN-6064-4075,53,Maharashtra,Maharashtra,Construction,496,Semi-skilled,Ayushman Bharat,2024-12-11
MOCK-UAN-1735-8926,20,Andhra Pradesh,Tamil Nadu,Construction,622,Skilled,Ayushman Bharat,2025-10-27
MOCK-UAN-6152-7400,64,Tamil Nadu,Tamil Nadu,Construction,744,Skilled,None,2026-04-19
MOCK-UAN-7260-8814,55,Andhra Pradesh,Maharashtra,Manufacturing,227,Unskilled,PM-SYM,2025-05-10
MOCK-UAN-3307-3638,-1,West Bengal,West Bengal,Domestic Worker,490,Skilled,None,2025-01-27
MOCK-UAN-6903-8059,20,Gujarat,Bihar,Gig Worker,1022,Highly-skilled,PM-SYM,2025-06-28
MOCK-UAN-2428-9174,24,Karnataka,Uttar Pradesh,Gig Worker,374,Unskilled,Ayushman Bharat,2026-04-28
MOCK-UAN-2461-2165,29,Karnataka,West Bengal,Agriculture,848,Highly-skilled,eShram,2025-01-19
MOCK-UAN-8999-1648,41,Uttar Pradesh,Jharkhand,Manufacturing,635,Skilled,PM-Kisan,2026-06-16
MOCK-UAN-7122-2367,61,Gujarat,Uttar Pradesh,Construction,362,Unskilled,eShram,2026-09-01
MOCK-UAN-1130-3532,24,Uttar Pradesh,Karnataka,Construction,471,Semi-skilled,None,2026-01-01
MOCK-UAN-6716-8632,47,West Bengal,West Bengal,Manufacturing,235,Unskilled,PM-SYM,2025-03-18
MOCK-UAN-7503-8096,30,Gujarat,Tamil Nadu,Agriculture,943,Highly-skilled,eShram,2026-09-04
MOCK-UAN-2873-5560,47,Andhra Pradesh,West Bengal,Gig Worker,582,Semi-skilled,Ayushman Bharat,2025-04-26
MOCK-UAN-6922-8046,48,Maharashtra,Andhra Pradesh,Manufacturing,595,Skilled,Ayushman Bharat,2026-04-09
MOCK-UAN-7636-2338,37,Karnataka,Karnataka,Domestic Worker,542,Semi-skilled,Ayushman Bharat,2025-03-22
MOCK-UAN-2514-8021,39,Uttar Pradesh,Gujarat,Manufacturing,846,Highly-skilled,None,2026-03-17
MOCK-UAN-3632-8156,40,Odisha,Andhra Pradesh,Domestic Worker,373,Semi-skilled,PM-SYM,2026-07-30
MOCK-UAN-3369-6304,60,Tamil Nadu,West Bengal,Gig Worker,965,Highly-skilled,Ayushman Bharat,2025-01-09
MOCK-UAN-7658-5305,51,Andhra Pradesh,Andhra Pradesh,Gig Worker,997,Highly-skilled,PM-Kisan,2026-05-23
MOCK-UAN-9947-3721,56,Gujarat,Maharashtra,Gig Worker,412,Unskilled,Ayushman Bharat,2025-06-27
MOCK-UAN-3043-9177,59,Karnataka,Tamil Nadu,Agriculture,887,Highly-skilled,PM-Kisan,2026-05-14
MOCK-UAN-7113-3898,53,Odisha,Gujarat,Manufacturing,617,Skilled,None,2026-06-26
MOCK-UAN-2625-2435,24,Bihar,Bihar,Domestic Worker,837,Highly-skilled,PM-SYM,2026-02-05
MOCK-UAN-9924-2633,58,Karnataka,Andhra Pradesh,Agriculture,972,Highly-skilled,eShram,2025-05-01
MOCK-UAN-7243-2875,30,Karnataka,Karnataka,Agriculture,895,Highly-skilled,None,2026-07-07
MOCK-UAN-7484-1124,41,Maharashtra,Tamil Nadu,Agriculture,655,Skilled,None,2026-08-05
MOCK-UAN-7792-1535,18,Andhra Pradesh,Gujarat,Domestic Worker,617,Skilled,Ayushman Bharat,2025-03-08
MOCK-UAN-8045-4962,53,Gujarat,Karnataka,Construction,972,Highly-skilled,eShram,2026-06-28
MOCK-UAN-3846-7604,38,West Bengal,Maharashtra,Construction,528,Semi-skilled,PM-Kisan,2025-01-14
MOCK-UAN-7422-5263,53,Jharkhand,Jharkhand,Gig Worker,422,Unskilled,PM-SYM,2024-10-11
MOCK-UAN-3507-1455,57,West Bengal,West Bengal,Construction,982,Highly-skilled,PM-SYM,2025-01-26
MOCK-UAN-6867-4056,33,Maharashtra,Odisha,Gig Worker,1066,Highly-skilled,Ayushman Bharat,2026-04-21
MOCK-UAN-1379-2694,25,Karnataka,Karnataka,Construction,359,Unskilled,eShram,2025-07-01
MOCK-UAN-3959-2520,22,Karnataka,Karnataka,Gig Worker,1035,Highly-skilled,PM-SYM,2026-01-30
MOCK-UAN-7778-2205,49,Bihar,Karnataka,Manufacturing,595,Skilled,None,2026-04-22
MOCK-UAN-1515-2920,39,Tamil Nadu,Odisha,Construction,572,Semi-skilled,PM-Kisan,2025-06-02
MOCK-UAN-4159-1484,52,Andhra Pradesh,Maharashtra,Gig Worker,666,Skilled,PM-SYM,2026-04-03
MOCK-UAN-3073-5384,35,Karnataka,Bihar,Agriculture,690,Skilled,None,2026-02-04
MOCK-UAN-7552-4163,34,Jharkhand,Tamil Nadu,Manufacturing,297,Unskilled,PM-Kisan,2026-05-09
MOCK-UAN-4372-8992,45,Karnataka,Uttar Pradesh,Agriculture,228,Unskilled,PM-Kisan,2025-10-12
MOCK-UAN-6782-7126,58,Bihar,Andhra Pradesh,Domestic Worker,606,Skilled,PM-Kisan,2025-11-08
MOCK-UAN-9691-6771,43,Andhra Pradesh,Gujarat,Manufacturing,415,Semi-skilled,Ayushman Bharat,2025-05-05
MOCK-UAN-6151-3003,18,Tamil Nadu,Tamil Nadu,Agriculture,492,Semi-skilled,None,2026-04-19
MOCK-UAN-4811-2085,42,Uttar Pradesh,Uttar Pradesh,Domestic Worker,417,Semi-skilled,PM-SYM,2026-04-12
MOCK-UAN-2225-7909,61,Gujarat,Tamil Nadu,Gig Worker,527,Semi-skilled,PM-SYM,2026-02-02
MOCK-UAN-5496-7901,25,Bihar,Gujarat,Domestic Worker,805,Highly-skilled,eShram,2026-06-26
MOCK-UAN-1076-8565,18,Jharkhand,Jharkhand,Manufacturing,2500,Highly-skilled,PM-Kisan,2026-04-16
MOCK-UAN-2558-7800,64,Uttar Pradesh,Gujarat,Manufacturing,178,Unskilled,PM-Kisan,2025-08-01
MOCK-UAN-1771-7444,37,Karnataka,Bihar,Agriculture,220,Unskilled,PM-SYM,2026-04-04
MOCK-UAN-6289-8138,32,Jharkhand,Gujarat,Domestic Worker,338,Unskilled,PM-SYM,2025-06-07
MOCK-UAN-1705-2815,21,Uttar Pradesh,Gujarat,Domestic Worker,939,Highly-skilled,Ayushman Bharat,2026-06-15
MOCK-UAN-2964-3069,38,Jharkhand,Jharkhand,Manufacturing,921,Highly-skilled,PM-SYM,2026-03-03
MOCK-UAN-8830-9029,35,Tamil Nadu,Tamil Nadu,Manufacturing,401,Semi-skilled,PM-SYM,2025-06-12
MOCK-UAN-2356-6783,53,Maharashtra,Maharashtra,Gig Worker,397,Unskilled,PM-SYM,2026-06-07
MOCK-UAN-8670-7308,30,Karnataka,Maharashtra,Domestic Worker,599,Skilled,Ayushman Bharat,2026-09-10
MOCK-UAN-3523-9265,24,Jharkhand,Gujarat,Manufacturing,842,Highly-skilled,PM-Kisan,2026-02-22
MOCK-UAN-7556-4079,22,Uttar Pradesh,Tamil Nadu,Domestic Worker,375,Unskilled,eShram,2025-12-31
MOCK-UAN-2805-4941,19,Karnataka,Andhra Pradesh,Manufacturing,943,Highly-skilled,Ayushman Bharat,2026-05-14
MOCK-UAN-4474-3467,43,West Bengal,Tamil Nadu,Construction,938,Highly-skilled,Ayushman Bharat,2025-06-14
MOCK-UAN-4177-5816,30,Gujarat,Uttar Pradesh,Domestic Worker,901,Highly-skilled,PM-Kisan,2026-06-08
MOCK-UAN-2819-4597,25,Andhra Pradesh,Andhra Pradesh,Domestic Worker,610,Skilled,eShram,2024-11-21
MOCK-UAN-5513-4710,57,Gujarat,Bihar,Gig Worker,597,Skilled,None,2026-05-21
MOCK-UAN-5718-5718,64,Andhra Pradesh,Odisha,Domestic Worker,887,Highly-skilled,Ayushman Bharat,2026-08-20
MOCK-UAN-6162-2137,28,Jharkhand,West Bengal,Gig Worker,365,Unskilled,None,2025-11-27
MOCK-UAN-3908-5322,22,Jharkhand,Jharkhand,Construction,599,Skilled,None,2026-05-04
MOCK-UAN-1740-1284,54,Uttar Pradesh,Uttar Pradesh,Domestic Worker,435,Semi-skilled,eShram,2025-05-16
MOCK-UAN-6747-9940,34,Karnataka,West Bengal,Construction,739,Skilled,Ayushman Bharat,2026-09-12
